
===== BENCHMARK STARTED =====


=== SCENARIO START: SCENARIO_1 ===


>>> Running Model: phi4:14b on Scenario: SCENARIO_1

[START] Scenario=SCENARIO_1 | Model=phi4:14b | Trials=100
[DONE] Model=phi4:14b | Trial 31 | Latency=0.702s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 32/100
[DONE] Model=phi4:14b | Trial 32 | Latency=0.714s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 33/100
[DONE] Model=phi4:14b | Trial 33 | Latency=0.696s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 34/100
[DONE] Model=phi4:14b | Trial 34 | Latency=0.691s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 35/100
[DONE] Model=phi4:14b | Trial 35 | Latency=0.682s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 36/100
[DONE] Model=phi4:14b | Trial 36 | Latency=0.680s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 37/100
[DONE] Model=phi4:14b | Trial 37 | Latency=0.675s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 38/100
[DONE] Model=phi4:14b | Trial 38 | Latency=0.678s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 39/100
[DONE] Model=phi4:14b | Trial 39 | Latency=0.670s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 40/100
[DONE] Model=phi4:14b | Trial 40 | Latency=0.698s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 41/100
[DONE] Model=phi4:14b | Trial 41 | Latency=0.676s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 42/100
[DONE] Model=phi4:14b | Trial 42 | Latency=0.689s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 43/100
[DONE] Model=phi4:14b | Trial 43 | Latency=0.702s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 44/100
[DONE] Model=phi4:14b | Trial 44 | Latency=0.678s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 45/100
[DONE] Model=phi4:14b | Trial 45 | Latency=0.685s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 46/100
[DONE] Model=phi4:14b | Trial 46 | Latency=0.692s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 47/100
[DONE] Model=phi4:14b | Trial 47 | Latency=0.662s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 48/100
[DONE] Model=phi4:14b | Trial 48 | Latency=0.688s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 49/100
[DONE] Model=phi4:14b | Trial 49 | Latency=0.677s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 50/100
[DONE] Model=phi4:14b | Trial 50 | Latency=0.675s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 51/100
[DONE] Model=phi4:14b | Trial 51 | Latency=0.676s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 52/100
[DONE] Model=phi4:14b | Trial 52 | Latency=0.656s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 53/100
[DONE] Model=phi4:14b | Trial 53 | Latency=0.679s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 54/100
[DONE] Model=phi4:14b | Trial 54 | Latency=0.675s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 55/100
[DONE] Model=phi4:14b | Trial 55 | Latency=0.663s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 56/100
[DONE] Model=phi4:14b | Trial 56 | Latency=0.668s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 57/100
[DONE] Model=phi4:14b | Trial 57 | Latency=0.674s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 58/100
[DONE] Model=phi4:14b | Trial 58 | Latency=0.673s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 59/100
[DONE] Model=phi4:14b | Trial 59 | Latency=0.664s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 60/100
[DONE] Model=phi4:14b | Trial 60 | Latency=0.705s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 61/100
[DONE] Model=phi4:14b | Trial 61 | Latency=0.664s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 62/100
[DONE] Model=phi4:14b | Trial 62 | Latency=0.675s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 63/100
[DONE] Model=phi4:14b | Trial 63 | Latency=0.677s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 64/100
[DONE] Model=phi4:14b | Trial 64 | Latency=0.666s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 65/100
[DONE] Model=phi4:14b | Trial 65 | Latency=0.668s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 66/100
[DONE] Model=phi4:14b | Trial 66 | Latency=0.672s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 67/100
[DONE] Model=phi4:14b | Trial 67 | Latency=0.683s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 68/100
[DONE] Model=phi4:14b | Trial 68 | Latency=0.686s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 69/100
[DONE] Model=phi4:14b | Trial 69 | Latency=0.719s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 70/100
[DONE] Model=phi4:14b | Trial 70 | Latency=0.686s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 71/100
[DONE] Model=phi4:14b | Trial 71 | Latency=0.700s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 72/100
[DONE] Model=phi4:14b | Trial 72 | Latency=0.675s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 73/100
[DONE] Model=phi4:14b | Trial 73 | Latency=0.720s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 74/100
[DONE] Model=phi4:14b | Trial 74 | Latency=0.695s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 75/100
[DONE] Model=phi4:14b | Trial 75 | Latency=0.685s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 76/100
[DONE] Model=phi4:14b | Trial 76 | Latency=0.664s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 77/100
[DONE] Model=phi4:14b | Trial 77 | Latency=0.695s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 78/100
[DONE] Model=phi4:14b | Trial 78 | Latency=0.709s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 79/100
[DONE] Model=phi4:14b | Trial 79 | Latency=0.702s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 80/100
[DONE] Model=phi4:14b | Trial 80 | Latency=0.657s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 81/100
[DONE] Model=phi4:14b | Trial 81 | Latency=0.699s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 82/100
[DONE] Model=phi4:14b | Trial 82 | Latency=0.664s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 83/100
[DONE] Model=phi4:14b | Trial 83 | Latency=0.662s
